Title,Release Year,Director,DP,Editor,Production Designer,Writer,Producer,Actors,Studio,Country of Origin,Title in Original Language,TMDb ID,IMDb ID,Your Rating
Mission: Impossible - Fallout,2018,Christopher McQuarrie,Rob Hardy|Hugues Espinasse,Eddie Hamilton,Peter Wenham,Christopher McQuarrie,J.J. Abrams|Tom Cruise|David Ellison|Dana Goldberg|Raphaël Benoliel|Bryan Burk|Don Granger|Christopher McQuarrie|Jake Myers,Tom Cruise|Henry Cavill|Ving Rhames|Simon Pegg|Rebecca Ferguson|Sean Harris|Angela Bassett|Vanessa Kirby|Michelle Monaghan|Wes Bentley,Paramount Pictures|Bad Robot|Skydance Media|TC Productions,United States of America,Mission: Impossible - Fallout,353081,tt4912910,8.0
Mission: Impossible - Rogue Nation,2015,Christopher McQuarrie,Robert Elswit,Eddie Hamilton,James D. Bissell,Christopher McQuarrie|Drew Pearce,J.J. Abrams|Tom Cruise|David Ellison|Bryan Burk|Don Granger,Tom Cruise|Jeremy Renner|Simon Pegg|Rebecca Ferguson|Ving Rhames|Sean Harris|Simon McBurney|Zhang Jingchu|Tom Hollander|Jens Hultén,Paramount Pictures|Bad Robot|Odin|Skydance Media,United States of America,Mission: Impossible - Rogue Nation,177677,tt2381249,4.0
Mission: Impossible - The Final Reckoning,2025,Christopher McQuarrie,Fraser Taggart,Eddie Hamilton,Gary Freeman,Christopher McQuarrie|Erik Jendresen,Christopher McQuarrie|Jake Myers|Tom Cruise,Tom Cruise|Hayley Atwell|Ving Rhames|Simon Pegg|Esai Morales|Pom Klementieff|Henry Czerny|Holt McCallany|Janet McTeer|Nick Offerman,Paramount Pictures|Skydance Media|TC Productions,United States of America,Mission: Impossible - The Final Reckoning,575265,tt9603208,8.0
Modern Times,1936,Charlie Chaplin,Ira H. Morgan|Roland Totheroh|Bud Thackery,Willard Nico|Charlie Chaplin,Charles D. Hall,Charlie Chaplin,Charlie Chaplin,Charlie Chaplin|Paulette Goddard|Henry Bergman|Tiny Sandford|Chester Conklin|Hank Mann|Stanley Blystone|Al Ernest Garcia|Richard Alexander|Cecil Reynolds,Charles Chaplin Productions,United States of America,Modern Times,3082,tt0027977,7.0
"Monsters, Inc.",2001,Pete Docter,,Jim Stewart|Robert Grahamjones,Bob Pauley|Harley Jessup,Andrew Stanton|Daniel Gerson,Darla K. Anderson,John Goodman|Billy Crystal|Mary Gibbs|Steve Buscemi|James Coburn|Jennifer Tilly|Bob Peterson|John Ratzenberger|Frank Oz|Daniel Gerson,Pixar,United States of America,"Monsters, Inc.",585,tt0198781,8.0
Monty Python and the Holy Grail,1975,Terry Gilliam|Terry Jones,Terry Bedford,John Hackney,Roy Forge Smith,Graham Chapman|John Cleese|Eric Idle|Terry Gilliam|Terry Jones|Michael Palin|Thomas Malory,Mark Forstater|Michael White,Graham Chapman|John Cleese|Eric Idle|Terry Gilliam|Terry Jones|Michael Palin|Connie Booth|Carol Cleveland|Neil Innes|Bee Duffell,Python (Monty) Pictures|Michael White Productions|National Film Trustee Company|EMI Films,United Kingdom,Monty Python and the Holy Grail,762,tt0071853,8.0
Moon,2009,Duncan Jones,Gary Shaw,Nicolas Gaster,Tony Noble,Nathan Parker|Duncan Jones,Nicky Bentham|Stuart Fenegan|Trudie Styler|Mark Foligno|Alex Francis|Deepak Sikka|Justin Lanchbury|Steve Milne,Sam Rockwell|Kevin Spacey|Dominique McElligott|Rosie Shaw|Adrienne Shaw|Kaya Scodelario|Benedict Wong|Matt Berry|Malcolm Stewart|Robin Chalk,Lunar Industries|Liberty Films|Xingu Films|Limelight Fund|Independent,United Kingdom|United States of America,Moon,17431,tt1182345,8.0
Moonage Daydream,2022,Brett Morgen,,Brett Morgen,,Brett Morgen,Brett Morgen,David Bowie|Lou Reed|Tina Turner|Russell Harty|Dick Cavett|Mick Ronson|Trevor Bolder|Mick Woodmansey|Ken Fordham|Brian Wilshaw,BMG|Live Nation Studios|Public Road Productions,Germany|United States of America,Moonage Daydream,957457,tt9883832,5.0
Moonlight,2016,Barry Jenkins,James Laxton,Joi McMillon|Nat Sanders,Hannah Beachler,Barry Jenkins|Tarell Alvin McCraney,Adele Romanski|Jeremy Kleiner|Dede Gardner,Trevante Rhodes|André Holland|Janelle Monáe|Ashton Sanders|Jharrel Jerome|Alex R. Hibbert|Jaden Piner|Naomie Harris|Mahershala Ali|Shariff Earp,A24|Plan B Entertainment|PASTEL,United States of America,Moonlight,376867,tt4975722,4.0
Moonrise Kingdom,2012,Wes Anderson,Robert D. Yeoman,Andrew Weisblum,Adam Stockhausen,Wes Anderson|Roman Coppola,Wes Anderson|Jeremy Dawson|Steven M. Rales|Scott Rudin,Jared Gilman|Kara Hayward|Bruce Willis|Edward Norton|Bill Murray|Frances McDormand|Tilda Swinton|Jason Schwartzman|Bob Balaban|Lucas Hedges,Indian Paintbrush|American Empirical Pictures,United States of America,Moonrise Kingdom,83666,tt1748122,10.0
mother!,2017,Darren Aronofsky,Matthew Libatique,Andrew Weisblum,Philip Messina,Darren Aronofsky,Ari Handel|Scott Franklin,Jennifer Lawrence|Javier Bardem|Ed Harris|Michelle Pfeiffer|Brian Gleeson|Domhnall Gleeson|Jovan Adepo|Amanda Chiu|Patricia Summersett|Eric Davis,Paramount Pictures|Protozoa Pictures,United States of America,mother!,381283,tt5109784,4.0
Moulin Rouge!,2001,Baz Luhrmann,Donald McAlpine,Jill Bilcock,Catherine Martin,Baz Luhrmann|Craig Pearce,Fred Baron|Martin Brown|Baz Luhrmann,Ewan McGregor|Nicole Kidman|John Leguizamo|Jim Broadbent|Richard Roxburgh|Garry McDonald|Jacek Koman|Matthew Whittet|Kerry Walker|Caroline O'Connor,20th Century Fox|Bazmark,Australia|United States of America,Moulin Rouge!,824,tt0203009,9.0
Mr. Nobody,2009,Jaco Van Dormael,Christophe Beaucarne,Susan Shipton|Matyas Veress,Sylvie Olivé,Jaco Van Dormael,Philippe Godeau,Jared Leto|Sarah Polley|Diane Kruger|Linh-Dan Pham|Rhys Ifans|Natasha Little|Toby Regbo|Juno Temple|Allan Corduner|Daniel Mays,Pan-Européenne|Integral Film|Lago Film|Christal Films|Toto & Co Films|France 2 Cinéma|France 3 Cinéma|SCOPE Pictures,Belgium|Canada|France|Germany,Mr. Nobody,31011,tt0485947,8.0
Mr. Smith Goes to Washington,1939,Frank Capra,Joseph Walker,Gene Havlick|Al Clark,,Sidney Buchman|Lewis R. Foster,,James Stewart|Jean Arthur|Claude Rains|Edward Arnold|Guy Kibbee|Thomas Mitchell|Eugene Pallette|Beulah Bondi|H.B. Warner|Harry Carey,Columbia Pictures,United States of America,Mr. Smith Goes to Washington,3083,tt0031679,9.0
Mulholland Drive,2001,David Lynch,Peter Deming,Mary Sweeney,Jack Fisk,David Lynch,Tony Krantz|Mary Sweeney|Neal Edelstein|Michael Polaire|Alain Sarde,Naomi Watts|Laura Harring|Justin Theroux|Ann Miller|Mark Pellegrino|Robert Forster|Dan Hedaya|Angelo Badalamenti|Patrick Fischler|Brent Briscoe,StudioCanal|Les Films Alain Sarde|Asymmetrical Productions|Babbo,France|United States of America,Mulholland Drive,1018,tt0166924,7.0
Mutant on the Bounty,1989,Robert Torrance,,Craig A. Colton,Clark Hunter,Martin Lopez,Martin Lopez,Kyle T. Heffner|John Roarke|Deborah Benson|John Furey|Victoria Catlin|John Fleck|Scott Williamson|John Durbin|Pepper Martin|Fox Harris,Skouras Pictures,United States of America,Mutant on the Bounty,259328,tt0097934,2.0
My Cousin Vinny,1992,Jonathan Lynn,Peter Deming,Stephen E. Rivkin|Tony Lombardo,Victoria Paul,Dale Launer,Dale Launer|Paul Schiff,Joe Pesci|Marisa Tomei|Ralph Macchio|Mitchell Whitfield|Fred Gwynne|Lane Smith|Austin Pendleton|Bruce McGill|Maury Chaykin|Paulene Myers,Palo Vista Productions|Peter V. Miller Investment Corp.|20th Century Fox|Dale Launer Production,United States of America,My Cousin Vinny,10377,tt0104952,7.0
Mystery Team,2009,Dan Eckman,Austin Schmidt,Dan Eckman,,D.C. Pierson|Donald Glover|Dominic Dierkes|Dan Eckman|Meggie McFadden,Meggie McFadden,Donald Glover|Aubrey Plaza|Dominic Dierkes|D.C. Pierson|Matt Walsh|Glenn Kalison|Peter Saati|Kay Cannon|Bobby Moynihan|John Lutz,Derrick Comedy Productions|Offhollywood Digital,United States of America,Mystery Team,38087,tt1237838,6.0
Napoleon,2023,Ridley Scott,Dariusz Wolski,Claire Simpson|Sam Restivo,Arthur Max,David Scarpa,Mark Huffam|Joaquin Phoenix|Ridley Scott|Kevin J. Walsh,Joaquin Phoenix|Vanessa Kirby|Tahar Rahim|Rupert Everett|Mark Bonnar|Paul Rhys|Ben Miles|Riana Duce|Edouard Philipponnat|Miles Jupp,Apple Studios|Scott Free Productions,United States of America,Napoleon,753342,tt13287846,5.0
Napoleon Dynamite,2004,Jared Hess,Munn Powell,Jeremy Coon,Cory Lorenzen,Jared Hess|Jerusha Hess,Sean Covel|Jeremy Coon|Chris Wyatt,Jon Heder|Efren Ramirez|Tina Majorino|Aaron Ruell|Jon Gries|Haylie Duff|Emily Kennard Dunn|Shondrella Avery|Sandy Martin|Diedrich Bader,Napoleon Pictures,United States of America,Napoleon Dynamite,8193,tt0374900,8.0
National Lampoon's Christmas Vacation,1989,Jeremiah S. Chechik,Thomas E. Ackerman,Michael A. Stevenson|Gerald B. Greenberg,Stephen Marsh,John Hughes,John Hughes|Tom Jacobson,Chevy Chase|Beverly D'Angelo|Juliette Lewis|Johnny Galecki|John Randolph|Diane Ladd|E.G. Marshall|Doris Roberts|Julia Louis-Dreyfus|Randy Quaid,Hughes Entertainment|Warner Bros. Pictures,United States of America,National Lampoon's Christmas Vacation,5825,tt0097958,6.0
National Treasure,2004,Jon Turteltaub,Caleb Deschanel,William Goldenberg,Norris Spencer,Jim Kouf|Marianne Wibberley|Cormac Wibberley|Oren Aviv|Charles Segars,Jerry Bruckheimer|Jon Turteltaub,Nicolas Cage|Diane Kruger|Justin Bartha|Sean Bean|Jon Voight|Harvey Keitel|Christopher Plummer|David Dayan Fisher|Stewart Finlay-McLennan|Oleg Taktarov,Walt Disney Pictures|Jerry Bruckheimer Films|Saturn Films|Junction Entertainment,United States of America,National Treasure,2059,tt0368891,8.0
Natural Born Killers,1994,Oliver Stone,Robert Richardson,Hank Corwin|Brian Berdan,Victor Kempster,David Veloz|Richard Rutowski|Oliver Stone|Quentin Tarantino,Jane Hamsher|Don Murphy|Clayton Townsend,Woody Harrelson|Juliette Lewis|Robert Downey Jr.|Tommy Lee Jones|Tom Sizemore|Rodney Dangerfield|Edie McClurg|Jared Harris|Russell Means|Maria Pitillo,Warner Bros. Pictures|Regency Enterprises|Alcor Films|Ixtlan Productions|New Regency Pictures|JD Productions,United States of America,Natural Born Killers,241,tt0110632,5.0
Never Let Me Go,2010,Mark Romanek,Adam Kimmel,Barney Pilling,Mark Digby,Alex Garland,Andrew Macdonald|Allon Reich,Carey Mulligan|Keira Knightley|Andrew Garfield|Izzy Meikle-Small|Ella Purnell|Charlie Rowe|Sally Hawkins|Charlotte Rampling|Domhnall Gleeson|Andrea Riseborough,DNA Films|Film4 Productions,United Kingdom,Never Let Me Go,42188,tt1334260,7.0
New Year's Evil,1980,Emmett Alston,Thomas E. Ackerman,Richard S. Brummer,,Leonard Neubauer|Emmett Alston,Yoram Globus|Menahem Golan,Roz Kelly|Kip Niven|Chris Wallace|Grant Cramer|Louisa Moritz|Jed Mills|Taaffe O'Connell|Jon Greene|Teri Copley|Anita Crane,The Cannon Group,United States of America,New Year's Evil,69165,tt0082806,6.0
Nickel Boys,2024,RaMell Ross,Jomo Fray,Nicholas Monsour,Nora Mendis,Joslyn Barnes|RaMell Ross,Joslyn Barnes|David Levine|Jeremy Kleiner|Dede Gardner,Ethan Herisse|Brandon Wilson|Aunjanue Ellis-Taylor|Hamish Linklater|Gralen Bryant Banks|Fred Hechinger|Jimmie Fails|Luke Tennie|Bryan Gael Guzman|Ethan Cole Sharp,Plan B Entertainment|Louverture Films|Anonymous Content|Orion Pictures,United States of America,Nickel Boys,1028196,tt23055660,4.0
Nightcrawler,2014,Dan Gilroy,Robert Elswit,John Gilroy,Kevin Kavanaugh,Dan Gilroy,Jennifer Fox|Tony Gilroy|Jake Gyllenhaal|David Lancaster|Michel Litvak,Jake Gyllenhaal|Riz Ahmed|Rene Russo|Bill Paxton|Kevin Rahm|Michael Hyatt|Price Carson|Kent Shocknek|Sharon Tay|Ann Cusack,Sierra/Affinity|Bold Films,United States of America,Nightcrawler,242582,tt2872718,10.0
No Country for Old Men,2007,Joel Coen|Ethan Coen,Roger Deakins,Ethan Coen|Joel Coen,Jess Gonchor,Ethan Coen|Joel Coen,Joel Coen|Ethan Coen|Scott Rudin,Javier Bardem|Tommy Lee Jones|Josh Brolin|Woody Harrelson|Kelly Macdonald|Garret Dillahunt|Tess Harper|Barry Corbin|Stephen Root|Rodger Boyce,Miramax|Paramount Vantage|Scott Rudin Productions|Mike Zoss Productions,United States of America,No Country for Old Men,6977,tt0477348,9.0
No Time to Die,2021,Cary Joji Fukunaga,Linus Sandgren,Tom Cross|Elliot Graham,Mark Tildesley,Cary Joji Fukunaga|Neal Purvis|Robert Wade|Phoebe Waller-Bridge,Barbara Broccoli|Michael G. Wilson,Daniel Craig|Léa Seydoux|Rami Malek|Lashana Lynch|Ralph Fiennes|Ben Whishaw|Naomie Harris|Rory Kinnear|Jeffrey Wright|Billy Magnussen,EON Productions|Metro-Goldwyn-Mayer,United Kingdom|United States of America,No Time to Die,370172,tt2382320,8.0
Nocturnal Animals,2016,Tom Ford,Seamus McGarvey,Joan Sobel,Shane Valentino,Tom Ford,Tom Ford|Robert Salerno,Amy Adams|Jake Gyllenhaal|Michael Shannon|Aaron Taylor-Johnson|Isla Fisher|Ellie Bamber|Armie Hammer|Karl Glusman|Robert Aramayo|Laura Linney,Fade To Black|Artina Films|Focus Features|Perfect World Pictures|Tom Ford,United States of America|China|United Kingdom,Nocturnal Animals,340666,tt4550098,9.0
Nomadland,2021,Chloé Zhao,Joshua James Richards,Chloé Zhao,Joshua James Richards,Chloé Zhao,Chloé Zhao|Frances McDormand|Dan Janvey|Mollye Asher|Peter Spears,Frances McDormand|David Strathairn|Linda May|Swankie|Gay DeForest|Patricia Grier|Angela Reyes|Carl R. Hughes|Douglas G. Soul|Ryan Aquino,Cor Cordium Productions|Hear/Say Productions|Highwayman Films,United States of America,Nomadland,581734,tt9770150,4.0
North by Northwest,1959,Alfred Hitchcock,Robert Burks,George Tomasini,Robert F. Boyle,Ernest Lehman,Alfred Hitchcock,Cary Grant|Eva Marie Saint|James Mason|Jessie Royce Landis|Leo G. Carroll|Josephine Hutchinson|Philip Ober|Martin Landau|Adam Williams|Edward Platt,Metro-Goldwyn-Mayer,United States of America,North by Northwest,213,tt0053125,5.0
Knife in the Water,1962,Roman Polanski,Jerzy Lipman,Halina Prugar-Ketling,Bolesław Kamykowski,Jerzy Skolimowski|Jakub Goldberg|Roman Polanski,,Leon Niemczyk|Jolanta Umecka|Zygmunt Malanowicz|Roman Polanski|Anna Ciepielewska,"Zespół Filmowy ""Kamera""",Poland,Nóż w wodzie,11502,tt0056291,7.0
Cinema Paradiso,1988,Giuseppe Tornatore,Blasco Giurato,Mario Morra,Andrea Crisanti,Giuseppe Tornatore|Vanna Paoli,Giovanna Romagnoli|Franco Cristaldi,Philippe Noiret|Jacques Perrin|Marco Leonardi|Salvatore Cascio|Agnese Nano|Antonella Attili|Pupella Maggio|Enzo Cannavale|Isa Danieli|Leo Gullotta,Cristaldifilm|Les Films Ariane|Rai 3|TF1 Films Production|Forum Picture,Italy|France,Nuovo Cinema Paradiso,11216,tt0095765,9.0
"O Brother, Where Art Thou?",2000,Joel Coen,Roger Deakins,Joel Coen|Ethan Coen|Tricia Cooke,Dennis Gassner,Ethan Coen|Joel Coen,Ethan Coen,George Clooney|John Turturro|Tim Blake Nelson|John Goodman|Holly Hunter|Chris Thomas King|Charles Durning|Del Pentecost|Michael Badalucco|J.R. Horne,Touchstone Pictures|Universal Pictures|StudioCanal|Working Title Films|Mike Zoss Productions,France|United Kingdom|United States of America,"O Brother, Where Art Thou?",134,tt0190590,8.0
Office Space,1999,Mike Judge,Tim Suhrstedt,David Rennie,Edward T. McAvoy,Mike Judge,Michael Rotenberg|Daniel Rappaport,Ron Livingston|Jennifer Aniston|David Herman|Ajay Naidu|Diedrich Bader|Stephen Root|Gary Cole|Richard Riehle|Ali Wentworth|Joe Bays,20th Century Fox,United States of America,Office Space,1542,tt0151804,8.0
Okja,2017,Bong Joon Ho,Darius Khondji,Yang Jin-mo,Lee Ha-jun|Kevin Thompson,Bong Joon Ho|Jon Ronson,Seo Woo-sik|Jeremy Kleiner|Lewis Taewan Kim|Bong Joon Ho|Dooho Choi|Dede Gardner|Ted Sarandos,An Seo-hyun|Tilda Swinton|Paul Dano|Steven Yeun|Jake Gyllenhaal|Giancarlo Esposito|Byun Hee-bong|Lily Collins|Daniel Henshall|Devon Bostick,Kate Street Picture Company|Plan B Entertainment|Lewis Pictures,South Korea|United States of America,Okja,387426,tt3967856,7.0
Olympus Has Fallen,2013,Antoine Fuqua,Conrad W. Hall,John Refoua,Derek R. Hill,Creighton Rothenberger|Katrin Benedikt,Antoine Fuqua|Alan Siegel|Ed Cathell III|Gerard Butler|Danny Lerner|Mark Gill,Gerard Butler|Aaron Eckhart|Finley Jacobsen|Dylan McDermott|Rick Yune|Morgan Freeman|Cole Hauser|Radha Mitchell|Angela Bassett|Melissa Leo,Millennium Media|G-BASE|Nu Image,United States of America,Olympus Has Fallen,117263,tt2302755,6.0
On the Waterfront,1954,Elia Kazan,Boris Kaufman,Gene Milford,,Budd Schulberg,Sam Spiegel,Marlon Brando|Eva Marie Saint|Karl Malden|Lee J. Cobb|Rod Steiger|Pat Henning|Leif Erickson|James Westerfield|Tony Galento|Tami Mauriello,Columbia Pictures|Horizon Pictures,United States of America,On the Waterfront,654,tt0047296,7.0
Once Upon a Time... in Hollywood,2019,Quentin Tarantino,Robert Richardson,Fred Raskin,Barbara Ling,Quentin Tarantino,David Heyman|Shannon McIntosh|Quentin Tarantino,Leonardo DiCaprio|Brad Pitt|Margot Robbie|Emile Hirsch|Margaret Qualley|Timothy Olyphant|Julia Butters|Austin Butler|Dakota Fanning|Bruce Dern,Heyday Films|Columbia Pictures|Bona Film Group,China|United Kingdom|United States of America,Once Upon a Time... in Hollywood,466272,tt7131622,8.0
Once Were Warriors,1994,Lee Tamahori,Stuart Dryburgh,Michael Horton,,Riwia Brown,Robin Scholes,Rena Owen|Temuera Morrison|Mamaengaroa Kerr-Bell|Julian Arahanga|Taungaroa Emile|Rachael Morris Jr.|Joseph Kairau|Cliff Curtis|Pete Smith|George Henare,Avalon Studios|New Zealand Film Commission|NZ on Air|Fish Entertainment,New Zealand,Once Were Warriors,527,tt0110729,8.0
One Flew Over the Cuckoo's Nest,1975,Miloš Forman,Haskell Wexler,Sheldon Kahn|Lynzee Klingman,Paul Sylbert,Lawrence Hauben|Bo Goldman,Saul Zaentz|Michael Douglas,Jack Nicholson|Brad Dourif|Louise Fletcher|Danny DeVito|William Redfield|Scatman Crothers|Christopher Lloyd|Will Sampson|Dean R. Brooks|Michael Berryman,Fantasy Films,United States of America,One Flew Over the Cuckoo's Nest,510,tt0073486,4.0
One More Orbit,2020,Terry Virts,James Neihouse,Jake Shaver|Shannon Albrink,,Matt Scott|Terry Virts,Meredith Emmanuel|Brian R. Etting|Peter Etzweiler|Terry Virts,Terry Virts|Hamish Harding,,Mauritius|Qatar|Russia|United States of America,One More Orbit,762841,tt10619638,6.0
One Six Right,2005,Brian Terwilliger,,,,,,Lorenzo Lamas|Sydney Pollack,Terwilliger Productions,United States of America,One Six Right,19446,tt0475994,7.0
Bus 174,2002,José Padilha,Marcelo 'Guru' Duarte|César Moraes,,,José Padilha,José Padilha|Marcos Prado,Yvonne Bezerra de Mello|Sandro do Nascimento|Rodrigo Pimentel|Luiz Eduardo Soares,Zazen Produções,Brazil,Ônibus 174,8439,tt0340468,3.0
Only God Forgives,2013,Nicolas Winding Refn,Larry Smith,Matthew Newman,Beth Mickle,Nicolas Winding Refn,Lene Børglum|Vincent Maraval|Sidonie Dumas|Jessica Ask|Jacob Jarek|Hanne Palmquist,Ryan Gosling|Kristin Scott Thomas|Vithaya Pansringarm|Rhatha Phongam|Gordon Brown|Tom Burke|Byron Gibson|Sahajak Boonthanakit|Charlie Ruedpokanon|Wannisa Peungpa,Wild Bunch|Gaumont|Space Rocket Nation|Motel Movies|Bold Films|Film i Väst|DR|Nordisk Film,Denmark|France|Sweden|United States of America,Only God Forgives,77987,tt1602613,5.0
Operation Finale,2018,Chris Weitz,Javier Aguirresarobe,Pamela Martin,David Brisbin,Matthew Orton,Oscar Isaac|Fred Berger|Jason Spire|Brian Kavanaugh-Jones,Oscar Isaac|Ben Kingsley|Mélanie Laurent|Peter Strauss|Nick Kroll|Lior Raz|Michael Aronov|Ohad Knoller|Torben Liebrecht|Haley Lu Richardson,Automatik Entertainment|Metro-Goldwyn-Mayer,United States of America,Operation Finale,493551,tt5208252,7.0
Oppenheimer,2023,Christopher Nolan,Hoyte van Hoytema,Jennifer Lame,Ruth De Jong,Christopher Nolan,Christopher Nolan|Emma Thomas|Charles Roven,Cillian Murphy|Emily Blunt|Matt Damon|Robert Downey Jr.|Florence Pugh|Josh Hartnett|Casey Affleck|Rami Malek|Kenneth Branagh|Benny Safdie,Syncopy|Universal Pictures|Atlas Entertainment|Breakheart Films|Peters Creek Entertainment,United Kingdom|United States of America,Oppenheimer,872585,tt15398776,9.0
Palm Springs,2020,Max Barbakow,Quyen Tran,Andrew Dickler|Matthew Friedman,Jason Kisvarday,Max Barbakow|Andy Siara,Andy Samberg|Akiva Schaffer|Jorma Taccone|Becky Sloviter|Dylan Sellers|Chris Parker,Andy Samberg|Cristin Milioti|J.K. Simmons|Peter Gallagher|Meredith Hagner|Camila Mendes|Tyler Hoechlin|Chris Pang|Jacqueline Obradors|June Squibb,Limelight|The Lonely Island|Sun Entertainment Culture Los Angeles,United States of America,Palm Springs,587792,tt9484998,9.0
Panic Room,2002,David Fincher,Darius Khondji|Conrad W. Hall,James Haygood|Angus Wall,Arthur Max,David Koepp,Ceán Chaffin|David Koepp|Judy Hofflund|Gavin Polone,Jodie Foster|Kristen Stewart|Forest Whitaker|Dwight Yoakam|Jared Leto|Patrick Bauchau|Ann Magnuson|Ian Buchanan|Andrew Kevin Walker|Paul Schulze,Columbia Pictures|Hofflund/Polone|Indelible Pictures,United States of America,Panic Room,4547,tt0258000,8.0
"Paris, Texas",1984,Wim Wenders,Robby Müller,Peter Przygodda,,Sam Shepard|L.M. Kit Carson,Don Guest|Anatole Dauman|Wim Wenders,Harry Dean Stanton|Nastassja Kinski|Dean Stockwell|Hunter Carson|Aurore Clément|Bernhard Wicki|Sam Berry|Claresie Mobley|Viva|Socorro Valdez,Road Movies|Argos films|WDR|Channel Four Films|Pro-ject Filmproduktion,United Kingdom|Germany|France,"Paris, Texas",655,tt0087884,4.0
Paths of Glory,1957,Stanley Kubrick,Georg Krause,Eva Kroll,,Stanley Kubrick|Calder Willingham|Jim Thompson,Kirk Douglas|James B. Harris,Kirk Douglas|Ralph Meeker|Adolphe Menjou|George Macready|Wayne Morris|Richard Anderson|Joe Turkel|Christiane Kubrick|Jerry Hausner|Peter Capell,Bryna Productions|United Artists|Harris-Kubrick Productions,United States of America,Paths of Glory,975,tt0050825,8.0
Paul Blart: Mall Cop 2,2015,Andy Fickman,Dean Semler,Scott Hill,Perry Andelin Blake,Nick Bakay|Kevin James,Jack Giarraputo|Todd Garner|Adam Sandler|Kevin James,Kevin James|Raini Rodriguez|Neal McDonough|Daniella Alonso|Eduardo Verástegui|David Henrie|Shirley Knight|Gary Valentine|Ana Gasteyer|Nicholas Turturro,Columbia Pictures|Hey Eddie|LStar Capital|Happy Madison Productions|Broken Road Productions,United States of America,Paul Blart: Mall Cop 2,256961,tt3450650,4.0
Pavarotti,2019,Ron Howard,,Paul Crowder,,Mark Monroe,Michael Rosenberg|Brian Grazer|Jeanne Elfant Festa|Ron Howard|Nigel Sinclair,Luciano Pavarotti|Bono|Harvey Goldsmith|Nicoletta Mantovani|Plácido Domingo|José Carreras|Madelyn Renée Monti|Andrea Griminelli|Angela Gheorghiu|Carol Vaness,HanWay Films|Imagine Entertainment|White Horse Pictures|Diamond Docs|Imagine Documentaries,United Kingdom|United States of America,Pavarotti,561325,tt6964076,7.0
"People, Places, Things",2015,Jim Strouse,Chris Teague,Colleen Sharp,Scott Kuzio,Jim Strouse,,Jemaine Clement|Regina Hall|Stephanie Allynne|Jessica Williams|Michael Chernus|Aundrea Gadsby|Gia Gadsby|Matthew Maher|Dionne Audain|Nancy Eng,Beachside Films,United States of America,"People, Places, Things",308027,tt4104022,7.0
For a Few Dollars More,1965,Sergio Leone,Massimo Dallamano,Eugenio Alabiso|Giorgio Serrallonga,,Luciano Vincenzoni|Sergio Leone|Fulvio Morsella,Arturo González|Alberto Grimaldi,Clint Eastwood|Lee Van Cleef|Gian Maria Volonté|Luigi Pistilli|Klaus Kinski|Joseph Egger|Panos Papadopulos|Mara Krupp|Benito Stefanelli|Roberto Camardiel,PEA|Constantin Film|Arturo González PC|Taurus Film,Germany|Italy|Spain,Per qualche dollaro in più,938,tt0059578,9.0
Perfect Bid: The Contestant Who Knew Too Much,2017,CJ Wallis,CJ Wallis,CJ Wallis,,,CJ Wallis|Mallory Kennedy,Bob Barker|Drew Carey|Kevin Pollak|Theodore Slauson|Roger Dobkowitz,MK Ultra Productions|FortyFPS Productions,Canada,Perfect Bid: The Contestant Who Knew Too Much,491766,tt6854248,6.0
Perfect Blue,1998,Satoshi Kon,Hisao Shirai,Harutoshi Ogata,,Sadayuki Murai,Hiroaki Inoue|Yoshihisa Ishihara|Masao Maruyama|Hitomi Nakagaki|Yutaka Togo,Junko Iwao|Rica Matsumoto|Shiho Niiyama|Masaaki Okura|Shinpachi Tsuji|Emiko Furukawa|Yosuke Akimoto|Yoku Shioya|Hideyuki Hori|Emi Shinohara,Madhouse|Rex Entertainment|Kotobuki Seihan Printing|Asahi Broadcasting Corporation|Fangs|ONIRO,Japan,PERFECT BLUE,10494,tt0156887,9.0
Persona,1966,Ingmar Bergman,Sven Nykvist,Ulla Ryghe,Bibi Lindström,Ingmar Bergman,Ingmar Bergman,Bibi Andersson|Liv Ullmann|Margaretha Krook|Gunnar Björnstrand|Jörgen Lindström,SF Studios,Sweden,Persona,797,tt0060827,5.0
Philadelphia,1993,Jonathan Demme,Tak Fujimoto,Craig McKay,Kristi Zea,Ron Nyswaner,Jonathan Demme|Edward Saxon,Tom Hanks|Denzel Washington|Jason Robards|Mary Steenburgen|Antonio Banderas|Ron Vawter|Robert Ridgely|Charles Napier|Lisa Summerour|Obba Babatundé,TriStar Pictures|Clinica Estetico|A Luta Continua,United States of America,Philadelphia,9800,tt0107818,7.0
Pick of the Litter,2019,Dana Nachman|Don Hardy Jr.,Don Hardy Jr.,Don Hardy Jr.,,Dana Nachman,Dana Nachman,Diane Meer|Terry Blosser|Janet Gearheart|Sharon Kret,KTF Films,United States of America,Pick of the Litter,503257,tt5644050,8.0
Pigeonhearts,2017,Grant Conversano,,,,Grant Conversano,Ede Bell Crowder|Kevin Cutrara,Lucas Hedges|Emma Geer,University of North Carolina School of the Arts,United States of America,Pigeonhearts,475723,tt6091088,8.0
Piper,2016,Alan Barillaro,Derek Williams|Erik Smitt,Sarah K. Reimers,Jason Deamer,Alan Barillaro,Marc Sondheimer,,Pixar,United States of America,Piper,399106,tt5613056,9.0
